replicate,power,set,n,weight_L1,rho,top10_overlap,bottom10_overlap,mean_abs_rank_shift
41,2,A3,193752,0.00608119988009239,0.9999667962828471,0.9963356729975227,0.9945809248554913,0.0018793198556728628
42,1,A1,10247,0.0047331887970274225,0.9999857179695043,0.9970731707317073,0.9951219512195122,0.0011573031645819708
42,1,A2,16104,0.0047331887970274225,0.9999753427644781,0.9962756052141527,0.9962756052141527,0.001427214042652219
42,1,A3,193752,0.0047331887970274225,0.999984114460863,0.9965937241948802,0.9959227910817506,0.0011912308356485314
42,2,A1,10247,0.0049088044215779315,0.9999894497910867,0.9960975609756098,0.9970731707317073,0.0009758382417068012
42,2,A2,16104,0.0049088044215779315,0.9999849198476037,0.9956548727498448,0.9975170701427685,0.001092146576315055
42,2,A3,193752,0.0049088044215779315,0.9999897574591362,0.9975227085053675,0.9968517753922378,0.0009375987308482516
43,1,A1,10247,0.006497738947135165,0.9999829785515055,0.9980487804878049,0.9931707317073171,0.0012279310573101254
43,1,A2,16104,0.006497738947135165,0.9999915107141162,0.9981378026070763,0.9962756052141527,0.0008435143006128322
43,1,A3,193752,0.006497738947135165,0.9999635384322121,0.9961292320396367,0.993445499587118,0.0018981152486983338
43,2,A1,10247,0.006199472499364762,0.9999868984235348,0.9980487804878049,0.9951219512195122,0.00104978038830084
43,2,A2,16104,0.006199472499364762,0.9999908673234043,0.9987585350713842,0.9975170701427685,0.000889870647053467
43,2,A3,193752,0.006199472499364762,0.9999774792886381,0.9968517753922378,0.9952002477291495,0.0014416767785484766
44,1,A1,10247,0.006307689916986554,0.9999816571572285,0.9970731707317073,0.9941463414634146,0.0012939494705236595
44,1,A2,16104,0.006307689916986554,0.9999887221197438,0.9968963376784605,0.9981378026070763,0.0009237413962744396
44,1,A3,193752,0.006307689916986554,0.9999732964496263,0.9963356729975227,0.995355078447564,0.0015511306353895506
44,2,A1,10247,0.007418063575103759,0.9999697752598349,0.9960975609756098,0.9970731707317073,0.0016096797698391641
44,2,A2,16104,0.007418063575103759,0.99998881141308,0.9968963376784605,0.9981378026070763,0.0008706139847572992
44,2,A3,193752,0.007418063575103759,0.9999459461012841,0.9946325350949629,0.993239058629232,0.00222567969270238
45,1,A1,10247,0.006135693720057841,0.9999841363092155,0.9970731707317073,0.9951219512195122,0.0012010170302268238
45,1,A2,16104,0.006135693720057841,0.9999501329055801,0.9931719428926132,0.9925512104283054,0.002121464146732281
45,1,A3,193752,0.006135693720057841,0.999974075666154,0.9969549958711809,0.9948905862923204,0.0015207326348686797
45,2,A1,10247,0.006168421551955992,0.9999831006989757,0.9960975609756098,0.9951219512195122,0.0012337405252934282
45,2,A2,16104,0.006168421551955992,0.9999722671194837,0.9962756052141527,0.9956548727498448,0.0015580390403263044
45,2,A3,193752,0.006168421551955992,0.9999810045339672,0.9966453344343518,0.9956647398843931,0.0013006277396591685
46,1,A1,10247,0.007933966499227042,0.9999759069022358,0.9970731707317073,0.9912195121951219,0.0014779286549522588
46,1,A2,16104,0.007933966499227042,0.999955275230002,0.994413407821229,0.9931719428926132,0.0019897060068323905
46,1,A3,193752,0.007933966499227042,0.9999423261842416,0.9945809248554913,0.9925165152766309,0.0022659747525794723
46,2,A1,10247,0.00603341541755727,0.9999865358512092,0.9960975609756098,0.9960975609756098,0.0010886371577629316
46,2,A2,16104,0.00603341541755727,0.9999831279900617,0.9968963376784605,0.9981378026070763,0.0012057662822059002
46,2,A3,193752,0.00603341541755727,0.9999628228726424,0.9960776218001651,0.9943228736581338,0.0018012998589243972
47,1,A1,10247,0.00393531793522707,0.9999941363080166,0.9990243902439024,0.9970731707317073,0.0007186788081245962
47,1,A2,16104,0.00393531793522707,0.9999939213698529,0.9981378026070763,0.9981378026070763,0.0006957847760051469
47,1,A3,193752,0.00393531793522707,0.9999930343145473,0.9981420313790256,0.9975743187448389,0.0007895484362936255
47,2,A1,10247,0.0032789401018820247,0.9999968209202569,0.9990243902439024,0.9980487804878049,0.0005342996275397696
47,2,A2,16104,0.0032789401018820247,0.9999970383902708,0.9987585350713842,0.9993792675356921,0.00048437022246604225
47,2,A3,193752,0.0032789401018820247,0.9999963961027696,0.9984000825763831,0.9979872006606111,0.000571699917393441
48,1,A1,10247,0.007905056724239367,0.9999759355207902,0.9970731707317073,0.9951219512195122,0.0015099854897584841
48,1,A2,16104,0.007905056724239367,0.9999338068414841,0.9900682805710739,0.9931719428926132,0.002451896749617304
48,1,A3,193752,0.007905056724239367,0.9999578291334269,0.9952518579686209,0.9933422791081751,0.001994347098386417
48,2,A1,10247,0.006347914965460728,0.9999883564083949,0.9960975609756098,0.9960975609756098,0.0010399900061912738
48,2,A2,16104,0.006347914965460728,0.9999742305298764,0.9962756052141527,0.9981378026070763,0.0015298134159754935
48,2,A3,193752,0.006347914965460728,0.99997222148758,0.9958711808422791,0.995148637489678,0.001641123086732475
49,1,A1,10247,0.004868788614160673,0.9999918753864488,0.9980487804878049,0.9960975609756098,0.0008716678141635763
49,1,A2,16104,0.004868788614160673,0.9999897496726449,0.9968963376784605,0.9968963376784605,0.0009350779175300932
49,1,A3,193752,0.004868788614160673,0.9999914882584056,0.9977807597027251,0.9973678777869529,0.0008798899568086952
49,2,A1,10247,0.004327581644517624,0.9999923351458685,0.9960975609756098,1.0,0.0008371919549839755
49,2,A2,16104,0.004327581644517624,0.999990858375969,0.9981378026070763,0.9975170701427685,0.0008777166623603309
49,2,A3,193752,0.004327581644517624,0.9999926050493859,0.998090421139554,0.9975743187448389,0.0008249015994461988
50,1,A1,10247,0.004806946789135874,0.9999914396394016,0.9970731707317073,0.9941463414634146,0.0008742201705890274
50,1,A2,16104,0.004806946789135874,0.9999877841388886,0.9968963376784605,0.9962756052141527,0.001042659190670478
50,1,A3,193752,0.004806946789135874,0.9999870939268357,0.9971614368290669,0.9968001651527663,0.001066129175325692
50,2,A1,10247,0.0041567875221269306,0.999990992415935,0.9980487804878049,0.9990243902439024,0.0008800486860083412
50,2,A2,16104,0.0041567875221269306,0.9999908191009227,0.9975170701427685,0.9975170701427685,0.0008775547120566788
