alpha,nu,objective
0.338,0.27875,1.8900562834911224e-05
0.338,0.279,1.5830409248990747e-05
0.338,0.27925,1.35146890237268e-05
0.338,0.2795,1.1953199410073273e-05
0.338,0.27975,1.1145736389540867e-05
0.338,0.2798924654965345,1.1022793157204626e-05
0.338,0.28,1.1092094675154846e-05
0.338,0.28025,1.1792067712330133e-05
0.338,0.28049999999999997,1.3245447679790073e-05
0.338,0.28075,1.5452025490462206e-05
0.338,0.28099999999999997,1.8411590792456874e-05
0.338,0.28125,2.212393196991252e-05
0.338,0.2815,2.6588836143997682e-05
0.338,0.28175,3.180608917381881e-05
0.338,0.282,3.777547565735117e-05
0.338,0.28225,4.449677893242992e-05
0.338,0.2825,5.196978107765247e-05
0.338,0.28275,6.0194262913376244e-05
0.338,0.283,6.917000400265083e-05
0.338,0.28325,7.889678265223333e-05
0.338,0.2835,8.937437591350683e-05
0.338,0.28375,0.00010060255958351201
0.338,0.284,0.00011258110820589367
0.338,0.28425,0.00012530979507191585
0.338,0.2845,0.00013878839222144807
0.338,0.28474999999999995,0.00015301667044395614
0.338,0.285,0.00016799439927955522
0.33825,0.275,0.00015341484946940673
0.33825,0.27525,0.00013900485406839972
0.33825,0.2755,0.00012535218036015345
0.33825,0.27575,0.00011245664474093303
0.33825,0.276,0.00010031806232473162
0.33825,0.27625,8.893624694409662e-05
0.33825,0.2765,7.831101115094745e-05
0.33825,0.27675,6.844216621743647e-05
0.33825,0.277,5.932952213673542e-05
0.33825,0.27725,5.09728876239273e-05
0.33825,0.2775,4.337207011680017e-05
0.33825,0.27775,3.652687577674227e-05
0.33825,0.278,3.043710948958072e-05
0.33825,0.27825,2.5102574866438748e-05
0.33825,0.2785,2.052307424460695e-05
0.33825,0.27875,1.6698408688429183e-05
0.33825,0.279,1.362837799015747e-05
0.33825,0.27925,1.131278067088096e-05
0.33825,0.2795,9.751413981331976e-06
0.33825,0.27975,8.944073902882272e-06
0.33825,0.2798924654965345,8.82120073853613e-06
0.33825,0.28,8.890555148368505e-06
0.33825,0.28025,9.590651163015938e-06
0.33825,0.28049999999999997,1.1044154125379949e-05
0.33825,0.28075,1.3250854948223143e-05
0.33825,0.28099999999999997,1.6210543279449208e-05
0.33825,0.28125,1.992300750304093e-05
0.33825,0.2815,2.4388034739990762e-05
0.33825,0.28175,2.960541084921809e-05
0.33825,0.282,3.5574920428541316e-05
0.33825,0.28225,4.229634681558864e-05
0.33825,0.2825,4.9769472088800165e-05
0.33825,0.28275,5.7994077068348753e-05
0.33825,0.283,6.696994131712913e-05
0.33825,0.28325,7.669684314169332e-05
0.33825,0.2835,8.717455959326738e-05
0.33825,0.28375,9.840286646870166e-05
0.33825,0.284,0.00011038153831147698
0.33825,0.28425,0.00012311034841267925
0.33825,0.2845,0.00013658906881199406
0.33825,0.28474999999999995,0.00015081747029872081
0.33825,0.285,0.00016579532241279142
0.3385,0.275,0.00015150712504245707
0.3385,0.27525,0.00013709725226849893
0.3385,0.2755,0.00012344470120802243
0.3385,0.27575,0.00011054928825711557
0.3385,0.276,9.841082852957764e-05
0.3385,0.27625,8.702913585779376e-05
0.3385,0.2765,7.640402279350554e-05
0.3385,0.27675,6.65353006086795e-05
0.3385,0.277,5.742277929631449e-05
0.3385,0.27725,4.906626757130791e-05
0.3385,0.2775,4.1465572871273385e-05
0.3385,0.27775,3.4620501357428084e-05
0.3385,0.278,2.8530857915409337e-05
0.3385,0.27825,2.3196446156171692e-05
0.3385,0.2785,1.8617068416828434e-05
0.3385,0.27875,1.4792525761540912e-05
0.3385,0.279,1.1722617982391694e-05
0.3385,0.27925,9.407143600270648e-06
0.3385,0.2795,7.845899865763525e-06
0.3385,0.27975,7.0386827600411414e-06
0.3385,0.2798924654965345,6.915879681020557e-06
0.3385,0.28,6.985286995768294e-06
0.3385,0.28025,7.685506018001196e-06
0.3385,0.28049999999999997,9.13913200510861e-06
0.3385,0.28075,1.1345955869682611e-05
0.3385,0.28099999999999997,1.430576725944911e-05
0.3385,0.28125,1.801835455821141e-05
0.3385,0.2815,2.2483504886782415e-05
0.3385,0.28175,2.7701004103908963e-05
0.3385,0.282,3.367063680722531e-05
0.3385,0.28225,4.0392186334198365e-05
0.3385,0.2825,4.7865434763084634e-05
0.3385,0.28275,5.609016291387452e-05
0.3385,0.283,6.506615034928791e-05
0.3385,0.28325,7.479317537570186e-05
0.3385,0.2835,8.527101504417098e-05
0.3385,0.28375,9.649944515136565e-05
0.3385,0.284,0.00010847824024058903
0.3385,0.28425,0.00012120717360275211
0.3385,0.2845,0.00013468601727735863
0.3385,0.28474999999999995,0.000148914542053551
0.3385,0.285,0.0001638925174710572
0.33875,0.275,0.0001498955390526531
0.33875,0.27525,0.00013548578894116405
0.33875,0.2755,0.00012183336056360173
